# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
BRCA1	BRCA1	NM_007294.3		1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	311	2	0	1499	0	0	0	0	0	0
BRCA1	BRCA1	NM_007297.3		1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	311	2	0	1499	0	0	0	0	0	0
BRCA1	BRCA1	NM_007298.3		1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	311	2	0	1499	0	0	0	0	0	0
BRCA1	BRCA1	NM_007299.3		1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	311	2	0	1499	0	0	0	0	0	0
BRCA1	BRCA1	NM_007300.3		1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	311	2	0	1499	0	0	0	0	0	0
BRCA1	BRCA1	NR_027676.1		0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	1	0	311	2	0	1521	0	0	0	0	0	0
BRCA2	BRCA2	NM_000059.3		0	4	2	17	1	0	0	16	2	0	4	0	0	0	0	6	0	428	16	0	1117	0	0	0	1	0	39
N4BP2L1	N4BP2L1	NM_001079691.1		0	0	0	2	0	2	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
N4BP2L1	N4BP2L1	NM_001286459.1		0	0	0	2	0	2	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
N4BP2L1	N4BP2L1	NM_001286460.1		0	0	0	2	0	2	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
N4BP2L1	N4BP2L1	NM_001286461.1		0	0	0	2	0	2	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
N4BP2L1	N4BP2L1	NM_052818.2		0	0	0	2	0	2	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
ZAR1L	ZAR1L	NM_001136571.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0
